Trial,Cumulative Reward,Cumulative Regret
4650,18468.579778578598,131.42022142140868
4651,18471.017507022047,132.98249297795874
4652,18477.437632328314,130.5623676716906
4653,18481.679134476373,130.3208655236307
4654,18485.235126926927,130.76487307307679
4655,18489.401203712285,130.59879628771992
4656,18493.640860405703,130.3591395943017
4657,18497.684880530043,130.31511946996122
4658,18502.450446474133,129.5495535258697
4659,18506.166049432934,129.83395056706766
4660,18509.763802394362,130.23619760563886
4661,18514.10810245439,129.89189754561303
4662,18519.95986270775,128.04013729225315
4663,18523.331950740103,128.66804925990124
4664,18526.878443721176,129.12155627882942
4665,18528.082548965736,131.91745103427027
4666,18531.988881494162,132.01111850584374
4667,18536.06245757434,131.93754242566752
4668,18541.034669838315,130.96533016169042
4669,18543.87306530051,132.12693469949332
4670,18547.673889733913,132.3261102660918
4671,18552.803402284517,131.19659771548842
4672,18558.717397688193,129.28260231181318
4673,18561.29053107735,130.70946892265533
4674,18566.39272011581,129.607279884193
4675,18571.19742533997,128.8025746600346
4676,18575.50067076066,128.4993292393468
4677,18579.149880358444,128.85011964156297
4678,18583.93762136636,128.06237863364828
4679,18588.521064091572,127.4789359084378
4680,18594.552709535437,125.44729046457402
4681,18598.93109331306,125.06890668695144
4682,18602.38903167404,125.61096832596802
4683,18606.214934454172,125.78506554583701
4684,18607.734603104484,128.26539689552473
4685,18608.830376076887,131.16962392312234
4686,18614.45844334434,129.5415566556661
4687,18618.3521000614,129.64789993861038
4688,18623.58902679927,128.4109732007391
4689,18625.6266380681,130.37336193190595
4690,18630.94480724518,129.05519275482368
4691,18634.317424505763,129.682575494243
4692,18639.369592438255,128.63040756174996
4693,18643.807583755453,128.192416244551
4694,18647.36915618918,128.63084381082436
4695,18650.544598468496,129.4554015315076
4696,18654.232533802366,129.7674661976365
4697,18659.977225594557,128.022774405444
4698,18662.26438181984,129.73561818015833
4699,18665.208961367218,130.79103863278158
4700,18669.126449194086,130.8735508059132
4701,18673.799525558068,130.20047444192974
4702,18679.27175675741,128.7282432425863
4703,18682.380102414056,129.61989758594302
4704,18685.367198485215,130.63280151478278
4705,18688.558043039422,131.44195696057713
4706,18692.51610040022,131.48389959977897
4707,18695.486381335606,132.5136186643902
4708,18700.265813028873,131.73418697112356
4709,18703.555376398977,132.4446236010173
4710,18705.25462697741,134.74537302258597
4711,18709.30766068158,134.69233931841356
4712,18715.107377770662,132.892622229333
4713,18717.962573573706,134.0374264262873
4714,18722.382418839752,133.6175811602399
4715,18727.44893435016,132.55106564983112
4716,18729.964325342382,134.03567465760972
4717,18733.621462198746,134.37853780124433
4718,18737.645043830053,134.35495616993754
4719,18742.47298420142,133.52701579856898
4720,18746.391171606134,133.60882839385724
4721,18751.924108034524,132.075891965468
4722,18757.25486165982,130.74513834017193
4723,18760.382471539047,131.61752846094532
4724,18764.975729892816,131.02427010717795
4725,18767.774754569436,132.22524543055937
4726,18771.22783468574,132.77216531425768
4727,18775.659859829204,132.34014017079036
4728,18780.222818526032,131.7771814739616
4729,18782.691522347923,133.30847765207244
4730,18786.16129109749,133.8387089025049
4731,18788.735616660626,135.26438333936997
4732,18789.61113918683,138.38886081316832
4733,18793.425299761697,138.57470023829967
4734,18795.56415792067,140.43584207932602
4735,18800.103406096267,139.89659390372944
4736,18804.161081840008,139.83891815998783
4737,18808.25634114285,139.7436588571464
4738,18813.43775480509,138.56224519490664
4739,18818.32041293254,137.6795870674595
4740,18823.798893055493,136.2011069445037
4741,18827.7318626848,136.26813731519923
4742,18830.942707353235,137.05729264676498
4743,18836.50247949449,135.49752050551035
4744,18841.308000523302,134.6919994766979
4745,18845.699978937868,134.30002106213186
4746,18850.691610675265,133.30838932473415
4747,18855.503026514743,132.49697348525547
4748,18859.242688437975,132.75731156202428
4749,18863.067107203802,132.93289279619833
4750,18866.259270395305,133.74072960469576
4751,18869.75310303682,134.24689696318273
4752,18873.621220021203,134.37877997879747
4753,18877.308875947558,134.69112405244422
4754,18878.664293901467,137.33570609853294
4755,18885.58866718702,134.4113328129776
4756,18889.51415500694,134.48584499306182
4757,18891.615181163044,136.384818836957
4758,18895.587984166028,136.41201583397233
4759,18899.741353227113,136.25864677288743
4760,18903.676948166827,136.3230518331727
4761,18908.425771285307,135.57422871469143
4762,18913.571753879878,134.4282461201202
4763,18917.10036667964,134.89963332036118
4764,18920.098076962957,135.9019230370415
4765,18923.109927489742,136.890072510257
4766,18929.10766077972,134.8923392202806
4767,18934.383324843147,133.61667515685104
4768,18938.047393651206,133.95260634879156
4769,18942.072980384248,133.92701961574875
4770,18947.180405367406,132.81959463259147
4771,18949.70261290844,134.2973870915581
4772,18953.075762011344,134.92423798865616
4773,18956.460025580975,135.53997441902624
4774,18960.182026851493,135.81797314850962
4775,18964.543699848822,135.4563001511813
4776,18968.99705466845,135.00294533155304
4777,18973.44226872942,134.55773127058265
4778,18978.293098789683,133.70690121032143
4779,18983.59878034229,132.4012196577151
4780,18987.552641370927,132.4473586290786
4781,18992.685387975802,131.3146120242035
4782,18997.78786049844,130.2121395015669
4783,19001.00641189744,130.99358810256578
4784,19006.96954284208,129.03045715792933
4785,19010.843655997258,129.15634400275056
4786,19015.053031487725,128.94696851228483
4787,19019.256811804422,128.74318819558985
4788,19023.610945337197,128.38905466281406
4789,19026.12535410776,129.87464589225274
4790,19030.07998673555,129.92001326446237
4791,19034.21610303707,129.78389696294195
4792,19037.06874585699,130.93125414302523
4793,19040.920684947727,131.07931505228805
4794,19044.96979457874,131.0302054212732
4795,19049.18721221719,130.81278778282334
4796,19054.487266771008,129.51273322900732
4797,19060.80030246384,127.19969753617816
4798,19062.919745566956,129.0802544330611
4799,19066.953053208174,129.04694679184246
4800,19069.479467338595,130.52053266142178
4801,19074.339074248262,129.66092575175418
4802,19075.82470473385,132.17529526616974
4803,19080.432484974364,131.56751502565456
4804,19083.808253054136,132.19174694588384
4805,19087.036220061313,132.96377993870843
4806,19092.332567200443,131.6674327995796
4807,19096.80130800711,131.19869199291296
4808,19101.0753873318,130.92461266822426
4809,19105.420192967977,130.5798070320478
4810,19109.950614003028,130.04938599699494
4811,19114.89139317359,129.10860682643312
4812,19119.339704960395,128.66029503962764
4813,19123.400456078336,128.59954392168723
4814,19127.6814787535,128.31852124652306
4815,19132.72430178533,127.27569821469545
4816,19137.347243962267,126.65275603775683
