Bandit,Reward,Algorithm
0,1.2123064303645583,Epsilon-Greedy
0,3.1207946151387502,Epsilon-Greedy
0,-1.0449218749281783,Epsilon-Greedy
0,-0.6221167837914594,Epsilon-Greedy
0,0.7142878740251404,Epsilon-Greedy
0,0.8031028467858888,Epsilon-Greedy
0,1.8656965832573318,Epsilon-Greedy
0,1.7912068673318204,Epsilon-Greedy
0,0.9387184269758457,Epsilon-Greedy
0,-0.35298274272043106,Epsilon-Greedy
0,1.3357800751407405,Epsilon-Greedy
0,0.7197900439605549,Epsilon-Greedy
0,0.03821663983160206,Epsilon-Greedy
0,1.5339739536450083,Epsilon-Greedy
0,1.3107276487517903,Epsilon-Greedy
0,0.4102714249512862,Epsilon-Greedy
0,1.7400510514156162,Epsilon-Greedy
0,0.06745701871114795,Epsilon-Greedy
0,1.5316814733994808,Epsilon-Greedy
0,0.47321116468601454,Epsilon-Greedy
0,-0.6159527421465294,Epsilon-Greedy
0,1.6494774463405724,Epsilon-Greedy
0,3.3344244344429876,Epsilon-Greedy
0,0.5965795047759634,Epsilon-Greedy
0,1.6367356570960534,Epsilon-Greedy
0,1.7275112125460534,Epsilon-Greedy
0,1.1376764349674007,Epsilon-Greedy
0,-0.20181717344779537,Epsilon-Greedy
0,1.8729268140253896,Epsilon-Greedy
0,0.8633771023477856,Epsilon-Greedy
0,-0.6376540030506659,Epsilon-Greedy
0,1.149981771843201,Epsilon-Greedy
0,0.04835705618615582,Epsilon-Greedy
0,1.1388543509195084,Epsilon-Greedy
0,1.5621035688848093,Epsilon-Greedy
0,2.4824460983209145,Epsilon-Greedy
0,-1.8969550146642171,Epsilon-Greedy
0,1.1399283334438854,Epsilon-Greedy
0,1.7135970980802708,Epsilon-Greedy
0,1.615047643410119,Epsilon-Greedy
0,0.6789467480502196,Epsilon-Greedy
0,1.1995355437043427,Epsilon-Greedy
0,0.9715652815449635,Epsilon-Greedy
0,2.249896360509148,Epsilon-Greedy
0,2.6018500997229808,Epsilon-Greedy
0,2.350581332875612,Epsilon-Greedy
0,1.3795134611677211,Epsilon-Greedy
0,2.144628707523945,Epsilon-Greedy
0,0.9517869663670626,Epsilon-Greedy
0,0.02067927944582415,Epsilon-Greedy
0,1.820423024617697,Epsilon-Greedy
0,2.0312771929053146,Epsilon-Greedy
0,1.3410341571878872,Epsilon-Greedy
0,0.5078827407279523,Epsilon-Greedy
0,3.0078910688327998,Epsilon-Greedy
0,0.05911132900558069,Epsilon-Greedy
0,1.6255334525634062,Epsilon-Greedy
0,0.4889108301021545,Epsilon-Greedy
0,2.2439221703322234,Epsilon-Greedy
0,0.6424302204501713,Epsilon-Greedy
0,2.7349853920021387,Epsilon-Greedy
0,1.3813879612886018,Epsilon-Greedy
0,1.274864103254652,Epsilon-Greedy
0,0.9863345805091139,Epsilon-Greedy
0,0.6771553945562916,Epsilon-Greedy
0,0.41153218766250277,Epsilon-Greedy
0,0.20978168094594707,Epsilon-Greedy
0,1.1882384618291586,Epsilon-Greedy
0,0.1563692376337349,Epsilon-Greedy
0,2.770558431129491,Epsilon-Greedy
0,1.1304285186796543,Epsilon-Greedy
0,0.9934114699886972,Epsilon-Greedy
0,1.5987621565941852,Epsilon-Greedy
0,0.5117101882508579,Epsilon-Greedy
0,0.7831248224209086,Epsilon-Greedy
0,1.5140478581472545,Epsilon-Greedy
0,2.160879747430618,Epsilon-Greedy
0,1.942195153836408,Epsilon-Greedy
0,2.402893969475161,Epsilon-Greedy
0,1.9193804037847069,Epsilon-Greedy
0,1.040556255023113,Epsilon-Greedy
0,0.8909471147829116,Epsilon-Greedy
0,-0.2995513281352391,Epsilon-Greedy
0,0.12029618948217491,Epsilon-Greedy
0,1.6968841872089768,Epsilon-Greedy
0,1.470841914871456,Epsilon-Greedy
0,-0.6570687611769839,Epsilon-Greedy
0,0.1907691835036286,Epsilon-Greedy
0,0.36379541348946043,Epsilon-Greedy
0,0.9772285154444864,Epsilon-Greedy
0,0.44933147778925675,Epsilon-Greedy
0,0.5854519658845352,Epsilon-Greedy
0,-0.13440929518810685,Epsilon-Greedy
0,1.096275605876635,Epsilon-Greedy
3,5.142715353149997,Epsilon-Greedy
3,3.889158642308646,Epsilon-Greedy
3,4.071461814979455,Epsilon-Greedy
3,4.791408449204933,Epsilon-Greedy
3,3.6366099252547253,Epsilon-Greedy
3,5.420683894241446,Epsilon-Greedy
3,2.9309185038578383,Epsilon-Greedy
3,3.3588280678217783,Epsilon-Greedy
3,4.168166572197504,Epsilon-Greedy
3,4.089347798235398,Epsilon-Greedy
3,3.4440486866384603,Epsilon-Greedy
3,4.300106308490501,Epsilon-Greedy
3,4.073992528392308,Epsilon-Greedy
3,3.1999869957954794,Epsilon-Greedy
3,4.473013280355606,Epsilon-Greedy
3,5.292779957269958,Epsilon-Greedy
3,4.061443683745539,Epsilon-Greedy
3,4.3199527360771075,Epsilon-Greedy
3,3.01167091507815,Epsilon-Greedy
3,4.15629658701662,Epsilon-Greedy
3,2.463586635485994,Epsilon-Greedy
3,4.168142757081028,Epsilon-Greedy
3,4.533393864895861,Epsilon-Greedy
3,1.5714933091425856,Epsilon-Greedy
3,4.182561299099019,Epsilon-Greedy
3,3.314762899441237,Epsilon-Greedy
3,2.4305642005013324,Epsilon-Greedy
3,4.805449639354057,Epsilon-Greedy
3,4.5710019871148075,Epsilon-Greedy
3,6.025669084479985,Epsilon-Greedy
3,4.246650329737656,Epsilon-Greedy
3,2.078326571931483,Epsilon-Greedy
3,3.2464911649364536,Epsilon-Greedy
3,3.0958503586485233,Epsilon-Greedy
3,3.5064309716295554,Epsilon-Greedy
3,6.2515924270132155,Epsilon-Greedy
3,5.448877586023772,Epsilon-Greedy
3,4.622047719908407,Epsilon-Greedy
3,2.3083861341276903,Epsilon-Greedy
3,3.1732255569261825,Epsilon-Greedy
3,5.195888276872047,Epsilon-Greedy
3,3.3830597795591197,Epsilon-Greedy
3,4.915635153016902,Epsilon-Greedy
3,5.955078035258822,Epsilon-Greedy
3,2.334204438491212,Epsilon-Greedy
3,3.463296321241795,Epsilon-Greedy
3,3.6017667227965315,Epsilon-Greedy
3,3.851198418125491,Epsilon-Greedy
3,4.336621551551467,Epsilon-Greedy
3,3.6345716915890267,Epsilon-Greedy
3,3.8079598247451725,Epsilon-Greedy
3,4.062703810010794,Epsilon-Greedy
3,2.9197517392985737,Epsilon-Greedy
3,3.151152930561586,Epsilon-Greedy
3,4.508810091574268,Epsilon-Greedy
3,4.5610372518696245,Epsilon-Greedy
3,4.634576824380254,Epsilon-Greedy
3,4.742581410138793,Epsilon-Greedy
3,5.198181177956883,Epsilon-Greedy
3,0.5603973475239696,Epsilon-Greedy
3,3.174134376848478,Epsilon-Greedy
3,3.9607188923210415,Epsilon-Greedy
3,2.970123356484467,Epsilon-Greedy
3,4.508878442889764,Epsilon-Greedy
3,2.868049912264918,Epsilon-Greedy
3,3.2926162369299092,Epsilon-Greedy
3,3.327565477517999,Epsilon-Greedy
3,3.887789516781641,Epsilon-Greedy
3,4.5475275273257525,Epsilon-Greedy
3,4.625934357201586,Epsilon-Greedy
3,2.1802884125932533,Epsilon-Greedy
3,4.038733242928166,Epsilon-Greedy
