Trial,Cumulative Reward,Cumulative Regret
2489,9692.577220285502,263.42277971449334
2490,9697.667941574542,262.33205842545397
2491,9700.493079556147,263.50692044384846
2492,9703.951156668378,264.04884333161715
2493,9708.176911706076,263.82308829391917
2494,9710.68742831519,265.3125716848044
2495,9715.605688272399,264.3943117275965
2496,9718.939114768595,265.06088523140096
2497,9723.215891675813,264.78410832418365
2498,9726.067414475963,265.9325855240334
2499,9730.86068076024,265.139319239757
2500,9732.890614725635,267.109385274362
2501,9737.437539552173,266.56246044782324
2502,9740.866825155528,267.1331748444683
2503,9744.482887925085,267.51711207491167
2504,9748.544350056993,267.45564994300446
2505,9752.368157879702,267.6318421202949
2506,9756.172310850641,267.82768914935536
2507,9759.598199962113,268.4018000378833
2508,9763.504167949755,268.4958320502407
2509,9766.790661717245,269.2093382827516
2510,9769.801326973095,270.19867302690164
2511,9773.96813290053,270.0318670994651
2512,9775.556676768918,272.44332323107835
2513,9778.477402844543,273.5225971554545
2514,9783.054863541323,272.9451364586737
2515,9787.692457156732,272.3075428432643
2516,9791.130472239498,272.86952776049867
2517,9795.81636654155,272.1836334584468
2518,9800.110230908598,271.88976909139865
2519,9804.390518331034,271.609481668962
2520,9808.677026668845,271.32297333115184
2521,9811.971690333938,272.02830966605995
2522,9815.383908387419,272.61609161257917
2523,9819.225376480175,272.7746235198235
2524,9822.714915286013,273.285084713985
2525,9826.681683878589,273.3183161214083
2526,9830.744890793922,273.2551092060764
2527,9834.14478010572,273.8552198942779
2528,9837.740063486965,274.25993651303287
2529,9841.439611429167,274.5603885708314
2530,9846.145312544304,273.8546874556945
2531,9848.788577351605,275.21142264839347
2532,9852.103758676316,275.89624132368266
2533,9856.10548135306,275.8945186469374
2534,9859.059254631182,276.9407453688162
2535,9862.921343952012,277.0786560479855
2536,9867.399449385613,276.60055061438356
2537,9872.813802564431,275.18619743556553
2538,9875.311696568306,276.68830343169117
2539,9879.827679967213,276.1723200327838
2540,9881.898939335017,278.10106066498025
2541,9885.471400532648,278.5285994673498
2542,9889.93568625886,278.06431374113845
2543,9895.003180117285,276.9968198827138
2544,9899.47790996937,276.52209003062814
2545,9904.860119885472,275.13988011452506
2546,9911.65607991799,272.3439200820072
2547,9915.593090691857,272.4069093081399
2548,9919.920455158985,272.07954484101134
2549,9924.551843860476,271.4481561395204
2550,9927.556649160397,272.4433508395986
2551,9933.31794605973,270.68205394026666
2552,9937.79436502816,270.20563497183673
2553,9943.900751081152,268.09924891884435
2554,9947.978346374748,268.0216536252483
2555,9951.852336983648,268.1476630163482
2556,9956.057778843637,267.94222115635955
2557,9960.148446013358,267.85155398663915
2558,9961.773387605836,270.2266123941613
2559,9964.155856850428,271.84414314956865
2560,9969.976691781845,270.02330821815195
2561,9974.928540818622,269.07145918137394
2562,9979.243367758674,268.7566322413216
2563,9984.090720849163,267.90927915083256
2564,9988.956453796687,267.04354620330827
2565,9994.089858805808,265.9101411941872
2566,9997.827369442286,266.17263055770843
2567,10001.383813199056,266.61618680093915
2568,10004.597098810893,267.40290118910184
2569,10007.844513307586,268.15548669240866
2570,10011.798689460806,268.2013105391893
2571,10013.940359184628,270.0596408153679
2572,10018.93401789337,269.0659821066241
2573,10022.670667406743,269.32933259325125
2574,10024.35732149522,271.642678504774
2575,10027.623436253893,272.37656374610106
2576,10031.660857037828,272.3391429621657
2577,10034.75641765208,273.2435823479146
2578,10038.97830634432,273.0216936556741
2579,10041.962574532532,274.0374254674604
2580,10045.931666232755,274.0683337672379
2581,10051.28081153908,272.719188460912
2582,10055.62648139961,272.3735186003832
2583,10060.00643603933,271.99356396066287
2584,10061.758005745036,274.24199425495647
2585,10066.999243053098,273.0007569468932
2586,10069.816881258383,274.18311874160844
2587,10072.82151581581,275.1784841841826
2588,10075.912373991405,276.08762600858677
2589,10079.607574002255,276.3924259977366
2590,10083.439987608175,276.56001239181614
2591,10087.528584053858,276.47141594613345
2592,10090.47767818101,277.5223218189816
2593,10093.833935981187,278.16606401880443
2594,10099.253166289658,276.74683371033365
2595,10104.10717031174,275.8928296882518
2596,10109.244218232394,274.75578176759745
2597,10113.917591293153,274.08240870683824
2598,10118.792222073924,273.20777792606845
2599,10121.666796879847,274.3332031201454
2600,10126.04450962887,273.9554903711219
2601,10131.161293592828,272.83870640716356
2602,10135.401953775356,272.59804622463537
2603,10139.324062413098,272.6759375868931
2604,10144.602136676644,271.397863323348
2605,10148.539537708026,271.4604622919659
2606,10153.409800849078,270.5901991509127
2607,10157.81113022988,270.18886977011107
2608,10161.878806692534,270.1211933074585
2609,10164.141919722757,271.858080277236
2610,10168.162956015134,271.83704398485935
2611,10171.13286082685,272.86713917314324
2612,10173.989650042193,274.0103499578
2613,10180.0661848349,271.93381516509425
2614,10184.576493166645,271.42350683334763
2615,10188.764925348705,271.235074651287
2616,10192.300260376845,271.69973962314594
2617,10194.64859384619,273.35140615380203
2618,10196.727711597325,275.27228840266775
2619,10199.635285803774,276.36471419621967
